media,cpu,io_option,option_value,IOPS
SATASSD,12CPU,verify_checksum,False,116503
NVMeSSD,12CPU,verify_checksum,True,409431
NVMeSSD,12CPU,verify_checksum,False,408187
SATAHDD,12CPU,wal_bytes_per_sync,0,299556
SATASSD,12CPU,wal_bytes_per_sync,0,114047
NVMeSSD,12CPU,wal_bytes_per_sync,0,409196
SATAHDD,12CPU,wal_dir,homejinghuanNVMeSSD,292327
SATAHDD,12CPU,wal_dir,homejinghuanSATASSD,264573
SATAHDD,12CPU,wal_dir,homejinghuanSATAHDD,236746
SATASSD,12CPU,wal_dir,homejinghuanNVMeSSD,157035
SATASSD,12CPU,wal_dir,homejinghuanSATASSD,129035
SATASSD,12CPU,wal_dir,homejinghuanSATAHDD,182373
NVMeSSD,12CPU,wal_dir,homejinghuanNVMeSSD,407596
NVMeSSD,12CPU,wal_dir,homejinghuanSATASSD,414681
NVMeSSD,12CPU,wal_dir,homejinghuanSATAHDD,407914
SATAHDD,12CPU,writable_file_max_buffer_size,104857,281644
SATAHDD,12CPU,writable_file_max_buffer_size,1048576,291158
SATAHDD,12CPU,writable_file_max_buffer_size,10485760,290962
SATASSD,12CPU,writable_file_max_buffer_size,104857,116230
SATASSD,12CPU,writable_file_max_buffer_size,1048576,114740
SATASSD,12CPU,writable_file_max_buffer_size,10485760,123247
NVMeSSD,12CPU,writable_file_max_buffer_size,104857,414899
NVMeSSD,12CPU,writable_file_max_buffer_size,1048576,411299
NVMeSSD,12CPU,writable_file_max_buffer_size,10485760,407650
