media,io_option,std_of_IOPS,mean_of_IOPS
NVMeSSD,max_compaction_bytes,4913.681783211716,411441.0
SATAHDD,max_num_range_tombstones,51999.122578334594,234178.25
SATASSD,max_num_range_tombstones,8303.688858975069,143549.0
NVMeSSD,max_num_range_tombstones,1913.8485441643495,412416.75
SATAHDD,max_successive_merges,11032.28046084157,299963.8333333333
SATASSD,max_successive_merges,15909.93092379725,130134.0
NVMeSSD,max_successive_merges,3460.1374780009346,411485.1666666667
SATAHDD,max_total_wal_size,9748.174085437744,302399.0
SATASSD,max_total_wal_size,1670.8933239438118,165158.5
NVMeSSD,max_total_wal_size,2954.2921317973955,412337.0
SATAHDD,memtable_bloom_size_ratio,8675.934831474935,290640.8
SATASSD,memtable_bloom_size_ratio,16770.978435976835,132767.8
NVMeSSD,memtable_bloom_size_ratio,2205.13963276705,412517.4
SATAHDD,memtable_insert_with_hint_prefix_size,57413.0186826124,257441.25
SATASSD,memtable_insert_with_hint_prefix_size,30912.626679886005,114639.25
NVMeSSD,memtable_insert_with_hint_prefix_size,16855.519956382243,394357.5
SATAHDD,memtable_use_huge_page,7629.682169002848,266475.0
SATASSD,memtable_use_huge_page,10856.91751833825,126330.0
NVMeSSD,memtable_use_huge_page,323.1477990022522,410738.5
SATAHDD,memtablerep,nan,278557.0
SATASSD,memtablerep,nan,117790.0
NVMeSSD,memtablerep,nan,408438.0
SATAHDD,merge_keys,14427.671916032283,245147.75
SATASSD,merge_keys,13464.157777843613,131032.0
NVMeSSD,merge_keys,3312.1917592434165,405619.25
SATAHDD,min_level_to_compress,11630.75330033843,249342.66666666666
SATASSD,min_level_to_compress,4605.939788287873,118620.33333333333
NVMeSSD,min_level_to_compress,3731.368158374798,411680.3333333333
SATAHDD,min_write_buffer_number_to_merge,17043.83954199679,248441.33333333334
SATASSD,min_write_buffer_number_to_merge,4599.332705222936,131575.66666666666
NVMeSSD,min_write_buffer_number_to_merge,2490.8693930700847,412106.3333333333
SATAHDD,mmap_read,15487.052721547763,214561.0
SATASSD,mmap_read,28332.354508582586,169469.0
NVMeSSD,mmap_read,3372.192239478645,408942.5
SATAHDD,mmap_write,4589.83011668188,196100.5
SATASSD,mmap_write,5463.106991447266,110728.0
NVMeSSD,mmap_write,6938.131737002404,407299.0
SATAHDD,new_table_reader_for_compaction_inputs,19035.314549541858,197932.0
SATASSD,new_table_reader_for_compaction_inputs,7848.178164389491,119369.5
NVMeSSD,new_table_reader_for_compaction_inputs,2534.977810553773,413613.5
SATAHDD,open_files,10934.323650779685,289657.2
SATASSD,open_files,8432.798183284123,131500.2
NVMeSSD,open_files,4621.7751676168755,404545.2
SATAHDD,optimize_filters_for_hits,496.38896039295633,303384.0
SATASSD,optimize_filters_for_hits,7747.061894679815,115006.0
NVMeSSD,optimize_filters_for_hits,96.16652224137046,410985.0
SATAHDD,pin_l0_filter_and_index_blocks_in_cache,9734.031949814012,297371.0
SATASSD,pin_l0_filter_and_index_blocks_in_cache,4316.179792362686,114254.0
NVMeSSD,pin_l0_filter_and_index_blocks_in_cache,4632.256523553073,410799.5
SATAHDD,prefix_size,14391.487912420083,294465.5
SATASSD,prefix_size,1325.6450945357383,119516.75
NVMeSSD,prefix_size,4773.888518109041,408156.75
SATAHDD,range_tombstone_width,11088.029325959295,279686.3333333333
SATASSD,range_tombstone_width,10375.932986162417,116033.66666666667
NVMeSSD,range_tombstone_width,1193.6567066511768,407729.3333333333
SATAHDD,rate_limit_delay_max_milliseconds,7219.974053508318,284535.6666666667
SATASSD,rate_limit_delay_max_milliseconds,6174.846502815542,118495.33333333333
NVMeSSD,rate_limit_delay_max_milliseconds,3005.5392749610396,413255.6666666667
SATAHDD,read_amp_bytes_per_bit,13812.461873250546,264002.5
SATASSD,read_amp_bytes_per_bit,7701.588840406028,117068.0
NVMeSSD,read_amp_bytes_per_bit,3415.7962834454866,405635.25
SATAHDD,read_cache_direct_read,10171.731047368487,264674.5
SATASSD,read_cache_direct_read,11504.627329905128,117003.0
NVMeSSD,read_cache_direct_read,9453.310557682953,402512.5
SATAHDD,read_cache_direct_write,5503.412077974899,253795.5
SATASSD,read_cache_direct_write,4431.438197696093,121183.5
NVMeSSD,read_cache_direct_write,915.703281636579,409409.5
SATAHDD,read_cache_path,12814.85412844537,233132.66666666666
SATASSD,read_cache_path,5643.21725614033,121622.0
NVMeSSD,read_cache_path,20124.922716207715,390313.6666666667
SATAHDD,read_cache_size,6650.7842394713125,223173.0
SATASSD,read_cache_size,7493.678758349155,127011.33333333333
NVMeSSD,read_cache_size,9678.224699464945,405436.3333333333
SATAHDD,reads,nan,227117.0
SATASSD,reads,nan,103859.0
NVMeSSD,reads,nan,406847.0
SATAHDD,reverse_iterator,10833.582994559094,203662.5
SATASSD,reverse_iterator,1877.3685040502837,118715.5
NVMeSSD,reverse_iterator,2624.7803717644642,407677.0
SATAHDD,row_cache_size,63041.26211723028,232134.33333333334
SATASSD,row_cache_size,3136.7736609452713,116245.0
NVMeSSD,row_cache_size,4036.033077168719,411131.0
SATAHDD,show_table_properties,9010.661712660176,290632.5
SATASSD,show_table_properties,1356.9379130969846,117490.5
NVMeSSD,show_table_properties,8.48528137423857,409551.0
SATAHDD,skip_list_lookahead,7129.992931272794,299994.8
SATASSD,skip_list_lookahead,6535.70863028639,121138.4
NVMeSSD,skip_list_lookahead,1144.9280763436627,408660.6
SATAHDD,soft_pending_compaction_bytes_limit,19116.305614143475,285762.3333333333
SATASSD,soft_pending_compaction_bytes_limit,6825.20864149954,123790.0
NVMeSSD,soft_pending_compaction_bytes_limit,2324.1265742926594,408950.6666666667
SATAHDD,table_cache_numshardbits,3289.4607460798193,288275.0
SATASSD,table_cache_numshardbits,9599.68166138857,115449.0
NVMeSSD,table_cache_numshardbits,458.91230099006935,407933.5
SATAHDD,target_file_size_base,5450.537343540849,273102.6666666667
SATASSD,target_file_size_base,9063.667708678056,128510.33333333333
NVMeSSD,target_file_size_base,3751.8572734047334,409820.0
SATAHDD,target_file_size_multiplier,7705.791912581081,263367.0
SATASSD,target_file_size_multiplier,12430.15072314089,114017.0
NVMeSSD,target_file_size_multiplier,7843.474761439175,405779.3333333333
SATAHDD,universal_allow_trivial_move,6283.350857623661,250029.0
SATASSD,universal_allow_trivial_move,2636.094080263449,116561.0
NVMeSSD,universal_allow_trivial_move,4341.635636485402,410439.0
SATAHDD,use_adaptive_mutex,12176.378772032349,249570.0
SATASSD,use_adaptive_mutex,7112.080005174295,112862.0
NVMeSSD,use_adaptive_mutex,271.5290039756342,411161.0
SATAHDD,use_blob_db,32955.418643980236,233313.0
SATASSD,use_blob_db,51075.7370186667,155180.0
NVMeSSD,use_blob_db,126853.54233130426,318828.0
SATAHDD,use_block_based_filter,14439.827578610488,252646.5
SATASSD,use_block_based_filter,3651.4994180473313,126015.0
NVMeSSD,use_block_based_filter,3274.6115036749015,410845.5
SATAHDD,use_cuckoo_table,25300.987737635856,267253.5
SATASSD,use_cuckoo_table,9021.268314377974,128259.0
NVMeSSD,use_cuckoo_table,21167.2414948193,389947.5
SATAHDD,use_direct_io_for_flush_and_compaction,82936.55436537016,182565.0
SATASSD,use_direct_io_for_flush_and_compaction,6410.63007823724,119325.0
NVMeSSD,use_direct_io_for_flush_and_compaction,742.4621202458749,405512.0
SATAHDD,use_direct_reads,35484.73960028451,192319.5
SATASSD,use_direct_reads,28406.600720607174,141111.5
NVMeSSD,use_direct_reads,2909.0372978014566,404580.0
SATAHDD,use_fsync,6933.181989534099,193640.5
SATASSD,use_fsync,1916.2593770155438,113356.0
NVMeSSD,use_fsync,9715.647173503163,401068.0
SATAHDD,use_hash_search,7156.627732389047,200670.5
SATASSD,use_hash_search,3697.461358824457,105391.5
NVMeSSD,use_hash_search,20392.252462638844,393508.5
SATAHDD,use_plain_table,9416.582890482796,293043.0
SATASSD,use_plain_table,9843.822089683119,132450.0
NVMeSSD,use_plain_table,3498.742631289132,402406.0
SATAHDD,use_single_deletes,11858.887827279588,299790.5
SATASSD,use_single_deletes,6250.116838907894,113249.5
NVMeSSD,use_single_deletes,21718.784784144806,390171.5
SATAHDD,use_tailing_iterator,192.33304448274092,297243.0
SATASSD,use_tailing_iterator,8495.180869175181,122363.0
NVMeSSD,use_tailing_iterator,124.45079348883236,410650.0
SATAHDD,use_uint64_comparator,11368.862827917312,292598.0
SATASSD,use_uint64_comparator,5831.509624445457,121482.5
NVMeSSD,use_uint64_comparator,7171.476974793965,411252.0
SATAHDD,verify_checksum,18502.1560365272,291292.0
SATASSD,verify_checksum,6109.402589451771,120823.0
NVMeSSD,verify_checksum,879.6408357960652,408809.0
SATAHDD,wal_bytes_per_sync,nan,299556.0
SATASSD,wal_bytes_per_sync,nan,114047.0
NVMeSSD,wal_bytes_per_sync,nan,409196.0
SATAHDD,wal_dir,27790.507989839505,264548.6666666667
SATASSD,wal_dir,26680.068990415548,156147.66666666666
NVMeSSD,wal_dir,4001.887846171271,410063.6666666667
SATAHDD,writable_file_max_buffer_size,5437.213379419032,287921.3333333333
SATASSD,writable_file_max_buffer_size,4542.896249457314,118072.33333333333
NVMeSSD,writable_file_max_buffer_size,3624.5276014031588,411282.6666666667
